rep_id,month,segment,trained,quota_attainment,revenue,quota,ramp_days
1,1,Enterprise,1,0.3333,283292.05,850000,110
2,1,Enterprise,1,0.3847,327010.94,850000,140
3,1,Enterprise,1,0.2961,251718.81,850000,170
4,1,Enterprise,1,0.3576,303963.75,850000,147
5,1,Enterprise,1,0.3106,264022.24,850000,166
6,1,Enterprise,1,0.3609,306773.07,850000,169
7,1,Enterprise,1,0.3493,296882.17,850000,118
8,1,Enterprise,1,0.3213,273101.88,850000,121
9,1,Enterprise,1,0.2799,237940.72,850000,137
10,1,Enterprise,1,0.3398,288865.63,850000,149
11,1,Enterprise,1,0.4369,371347.85,850000,69
12,1,Enterprise,1,0.3614,307227.43,850000,157
13,1,Enterprise,1,0.2778,236171.68,850000,149
14,1,Enterprise,1,0.3567,303237.43,850000,91
15,1,Enterprise,1,0.4404,374306.51,850000,65
16,1,Enterprise,1,0.3509,298241.43,850000,96
17,1,Enterprise,1,0.3066,260616.45,850000,141
18,1,Enterprise,1,0.4352,369948.11,850000,126
19,1,Enterprise,1,0.3023,256944.82,850000,138
20,1,Enterprise,1,0.3439,292345.56,850000,128
21,1,Enterprise,1,0.3324,282539.1,850000,107
22,1,Enterprise,1,0.381,323834.96,850000,143
23,1,Enterprise,1,0.3739,317840.73,850000,139
24,1,Enterprise,1,0.3064,260414.68,850000,162
25,1,Enterprise,1,0.3397,288740.6,850000,83
26,1,Enterprise,1,0.3549,301688.45,850000,156
27,1,Enterprise,1,0.3832,325677.7,850000,81
28,1,Enterprise,1,0.3404,289362.25,850000,143
29,1,Enterprise,1,0.3383,287557.22,850000,136
30,1,Enterprise,1,0.29,246483.39,850000,169
31,1,Enterprise,1,0.4413,375127.76,850000,121
32,1,Enterprise,1,0.3936,334569.44,850000,98
33,1,Enterprise,1,0.3621,307767.3,850000,104
34,1,Enterprise,1,0.3971,337555.6,850000,137
35,1,Enterprise,1,0.3447,293002.35,850000,129
36,1,Enterprise,1,0.3135,266464.31,850000,143
37,1,Enterprise,1,0.3762,319811.43,850000,108
38,1,Enterprise,1,0.3638,309212.07,850000,117
39,1,Enterprise,1,0.4351,369795.35,850000,116
40,1,Enterprise,1,0.3163,268819.4,850000,147
41,1,Enterprise,1,0.3034,257911.62,850000,161
42,1,Enterprise,1,0.454,385935.45,850000,117
43,1,Enterprise,1,0.3995,339564.97,850000,180
44,1,Enterprise,1,0.3855,327677.54,850000,121
45,1,Enterprise,1,0.3138,266742.24,850000,178
46,1,Enterprise,1,0.3731,317102.18,850000,130
47,1,Enterprise,1,0.3201,272114.0,850000,72
48,1,Enterprise,1,0.3315,281777.9,850000,125
49,1,Enterprise,1,0.3072,261096.44,850000,107
50,1,Enterprise,1,0.3202,272184.67,850000,126
51,1,Enterprise,1,0.3003,255269.34,850000,125
52,1,Enterprise,1,0.3985,338748.53,850000,93
53,1,Enterprise,1,0.4513,383576.8,850000,88
54,1,Enterprise,1,0.4056,344761.17,850000,107
55,1,Enterprise,1,0.3823,324985.42,850000,160
56,1,Enterprise,1,0.3425,291155.07,850000,115
57,1,Enterprise,1,0.3588,304991.38,850000,148
58,1,Enterprise,1,0.3027,257275.5,850000,138
59,1,Enterprise,1,0.2916,247859.57,850000,141
60,1,Enterprise,1,0.2966,252082.08,850000,100
61,1,Enterprise,1,0.2891,245762.28,850000,178
62,1,Enterprise,1,0.3838,326254.73,850000,137
63,1,Enterprise,1,0.3912,332562.22,850000,127
64,1,Enterprise,1,0.3101,263585.96,850000,140
65,1,Enterprise,1,0.3651,310315.09,850000,140
66,1,Enterprise,1,0.4054,344611.69,850000,134
67,1,Enterprise,1,0.3464,294419.41,850000,132
68,1,Enterprise,1,0.3156,268252.07,850000,149
69,1,Enterprise,1,0.3295,280114.96,850000,155
70,1,Enterprise,1,0.4132,351236.3,850000,163
71,1,Enterprise,1,0.3554,302122.57,850000,113
72,1,Enterprise,1,0.4643,394642.93,850000,94
73,1,Enterprise,1,0.3202,272206.5,850000,143
74,1,Enterprise,1,0.3184,270667.14,850000,210
75,1,Enterprise,1,0.2905,246903.34,850000,125
76,1,Enterprise,1,0.4015,341316.53,850000,137
77,1,Enterprise,1,0.3516,298841.91,850000,164
78,1,Enterprise,1,0.3068,260773.53,850000,158
79,1,Enterprise,1,0.3381,287386.36,850000,127
80,1,Enterprise,1,0.3783,321525.68,850000,122
81,1,Enterprise,1,0.3188,270942.83,850000,119
82,1,Enterprise,1,0.3663,311351.61,850000,145
83,1,Enterprise,1,0.4,340010.92,850000,113
84,1,Enterprise,1,0.3302,280687.06,850000,147
85,1,Enterprise,1,0.2834,240902.31,850000,88
86,1,Enterprise,1,0.3613,307113.44,850000,80
87,1,Enterprise,1,0.3278,278607.95,850000,143
88,1,Enterprise,1,0.3083,262047.73,850000,95
89,1,Enterprise,1,0.379,322142.65,850000,138
90,1,Enterprise,1,0.3744,318271.97,850000,175
91,1,Enterprise,1,0.377,320481.85,850000,92
92,1,Enterprise,1,0.3318,282067.27,850000,139
93,1,Enterprise,1,0.368,312819.79,850000,104
94,1,Enterprise,1,0.3269,277852.88,850000,119
95,1,Enterprise,1,0.3898,331342.25,850000,114
96,1,Enterprise,1,0.331,281372.07,850000,142
97,1,Enterprise,1,0.3349,284665.47,850000,169
98,1,Enterprise,1,0.3463,294378.85,850000,129
99,1,Enterprise,1,0.5049,429156.97,850000,127
100,1,Enterprise,1,0.3138,266718.99,850000,107
101,1,Enterprise,1,0.3332,283234.46,850000,126
102,1,Enterprise,1,0.2783,236555.57,850000,138
103,1,Enterprise,1,0.3739,317803.82,850000,103
104,1,Enterprise,1,0.4356,370232.25,850000,122
105,1,Enterprise,1,0.3513,298579.88,850000,104
106,1,Enterprise,1,0.3165,269047.97,850000,172
107,1,Enterprise,1,0.3429,291431.56,850000,175
108,1,Enterprise,1,0.3998,339843.56,850000,137
109,1,Enterprise,1,0.4079,346736.57,850000,185
