rep_id,segment,trained,training_date,program_1,program_2,quota_usd,ramp_days
1,Enterprise,1,2026-01-17,Soft Skills,Sales Skills,850000,110
2,Enterprise,1,2026-04-09,Tools Training,Product Knowledge,850000,140
3,Enterprise,1,2025-09-27,Product Knowledge,Sales Skills,850000,170
4,Enterprise,1,2025-08-15,Soft Skills,Soft Skills,850000,147
5,Enterprise,1,2025-07-10,Sales Skills,Soft Skills,850000,166
6,Enterprise,1,2026-03-12,Tools Training,Tools Training,850000,169
7,Enterprise,1,2025-11-11,Product Knowledge,Tools Training,850000,118
8,Enterprise,1,2026-03-06,Soft Skills,Soft Skills,850000,121
9,Enterprise,1,2025-12-20,Sales Skills,Tools Training,850000,137
10,Enterprise,1,2025-07-30,Soft Skills,Sales Skills,850000,149
11,Enterprise,1,2025-06-18,Product Knowledge,Sales Skills,850000,69
12,Enterprise,1,2026-01-28,Tools Training,Soft Skills,850000,157
13,Enterprise,1,2025-08-09,Product Knowledge,Product Knowledge,850000,149
14,Enterprise,1,2026-03-07,Product Knowledge,Soft Skills,850000,91
15,Enterprise,1,2025-06-24,Soft Skills,Product Knowledge,850000,65
16,Enterprise,1,2025-06-30,Tools Training,Soft Skills,850000,96
17,Enterprise,1,2025-09-27,Sales Skills,Soft Skills,850000,141
18,Enterprise,1,2025-09-05,Product Knowledge,Tools Training,850000,126
19,Enterprise,1,2026-03-08,Soft Skills,Soft Skills,850000,138
20,Enterprise,1,2026-03-20,Sales Skills,Tools Training,850000,128
21,Enterprise,1,2025-07-03,Soft Skills,Tools Training,850000,107
22,Enterprise,1,2025-12-12,Tools Training,Sales Skills,850000,143
23,Enterprise,1,2025-11-18,Product Knowledge,Tools Training,850000,139
24,Enterprise,1,2026-03-20,Soft Skills,Tools Training,850000,162
25,Enterprise,1,2025-10-11,Soft Skills,Tools Training,850000,83
26,Enterprise,1,2026-02-27,Soft Skills,Sales Skills,850000,156
27,Enterprise,1,2026-01-21,Tools Training,Sales Skills,850000,81
28,Enterprise,1,2025-09-15,Sales Skills,Tools Training,850000,143
29,Enterprise,1,2025-12-20,Tools Training,Product Knowledge,850000,136
30,Enterprise,1,2025-07-21,Sales Skills,Tools Training,850000,169
31,Enterprise,1,2026-04-15,Tools Training,Tools Training,850000,121
32,Enterprise,1,2025-09-11,Sales Skills,Soft Skills,850000,98
33,Enterprise,1,2026-01-24,Tools Training,Sales Skills,850000,104
34,Enterprise,1,2025-12-08,Tools Training,Sales Skills,850000,137
35,Enterprise,1,2026-03-25,Tools Training,Product Knowledge,850000,129
36,Enterprise,1,2025-07-20,Product Knowledge,Product Knowledge,850000,143
37,Enterprise,1,2026-03-16,Soft Skills,Soft Skills,850000,108
38,Enterprise,1,2026-01-12,Soft Skills,Soft Skills,850000,117
39,Enterprise,1,2025-07-18,Tools Training,Soft Skills,850000,116
40,Enterprise,1,2025-09-11,Product Knowledge,Sales Skills,850000,147
41,Enterprise,1,2025-07-21,Sales Skills,Tools Training,850000,161
42,Enterprise,1,2025-10-14,Soft Skills,Tools Training,850000,117
43,Enterprise,1,2025-12-14,Product Knowledge,Soft Skills,850000,180
44,Enterprise,1,2025-11-29,Tools Training,Tools Training,850000,121
45,Enterprise,1,2025-11-21,Sales Skills,Product Knowledge,850000,178
46,Enterprise,1,2026-03-09,Soft Skills,Product Knowledge,850000,130
47,Enterprise,1,2025-07-09,Sales Skills,Soft Skills,850000,72
48,Enterprise,1,2026-02-08,Tools Training,Sales Skills,850000,125
49,Enterprise,1,2026-04-28,Sales Skills,Soft Skills,850000,107
50,Enterprise,1,2025-09-17,Sales Skills,Tools Training,850000,126
51,Enterprise,1,2025-12-25,Soft Skills,Product Knowledge,850000,125
52,Enterprise,1,2025-08-26,Soft Skills,Tools Training,850000,93
53,Enterprise,1,2025-10-09,Product Knowledge,Soft Skills,850000,88
54,Enterprise,1,2025-06-09,Soft Skills,Product Knowledge,850000,107
55,Enterprise,1,2025-10-14,Soft Skills,Sales Skills,850000,160
56,Enterprise,1,2025-10-11,Soft Skills,Tools Training,850000,115
57,Enterprise,1,2025-06-08,Soft Skills,Tools Training,850000,148
58,Enterprise,1,2025-12-04,Soft Skills,Soft Skills,850000,138
59,Enterprise,1,2025-10-13,Soft Skills,Tools Training,850000,141
60,Enterprise,1,2025-12-22,Tools Training,Soft Skills,850000,100
61,Enterprise,1,2025-11-30,Tools Training,Soft Skills,850000,178
62,Enterprise,1,2025-12-07,Product Knowledge,Soft Skills,850000,137
63,Enterprise,1,2026-03-01,Soft Skills,Tools Training,850000,127
64,Enterprise,1,2026-04-21,Sales Skills,Tools Training,850000,140
65,Enterprise,1,2025-12-04,Soft Skills,Product Knowledge,850000,140
66,Enterprise,1,2025-12-31,Sales Skills,Soft Skills,850000,134
67,Enterprise,1,2026-01-04,Tools Training,Soft Skills,850000,132
68,Enterprise,1,2026-01-21,Sales Skills,Sales Skills,850000,149
69,Enterprise,1,2025-10-18,Sales Skills,Soft Skills,850000,155
70,Enterprise,1,2025-11-20,Soft Skills,Sales Skills,850000,163
71,Enterprise,1,2025-07-27,Soft Skills,Tools Training,850000,113
72,Enterprise,1,2025-10-17,Sales Skills,Soft Skills,850000,94
73,Enterprise,1,2026-03-28,Product Knowledge,Tools Training,850000,143
74,Enterprise,1,2026-04-08,Product Knowledge,Product Knowledge,850000,210
75,Enterprise,1,2026-03-23,Soft Skills,Tools Training,850000,125
76,Enterprise,1,2026-04-03,Product Knowledge,Sales Skills,850000,137
77,Enterprise,1,2025-07-18,Sales Skills,Sales Skills,850000,164
78,Enterprise,1,2025-06-17,Soft Skills,Tools Training,850000,158
79,Enterprise,1,2026-04-26,Sales Skills,Soft Skills,850000,127
80,Enterprise,1,2025-09-22,Product Knowledge,Sales Skills,850000,122
81,Enterprise,1,2026-03-15,Sales Skills,Sales Skills,850000,119
82,Enterprise,1,2025-07-24,Sales Skills,Sales Skills,850000,145
83,Enterprise,1,2025-07-02,Sales Skills,Soft Skills,850000,113
84,Enterprise,1,2025-11-20,Soft Skills,Tools Training,850000,147
85,Enterprise,1,2025-12-23,Product Knowledge,Product Knowledge,850000,88
86,Enterprise,1,2025-06-11,Soft Skills,Product Knowledge,850000,80
87,Enterprise,1,2025-07-24,Tools Training,Product Knowledge,850000,143
88,Enterprise,1,2025-12-24,Tools Training,Product Knowledge,850000,95
89,Enterprise,1,2025-07-31,Product Knowledge,Tools Training,850000,138
90,Enterprise,1,2026-04-04,Tools Training,Product Knowledge,850000,175
91,Enterprise,1,2026-04-17,Soft Skills,Soft Skills,850000,92
92,Enterprise,1,2025-12-09,Soft Skills,Tools Training,850000,139
93,Enterprise,1,2025-12-08,Tools Training,Tools Training,850000,104
94,Enterprise,1,2026-03-10,Sales Skills,Product Knowledge,850000,119
95,Enterprise,1,2026-02-26,Product Knowledge,Product Knowledge,850000,114
96,Enterprise,1,2025-08-02,Product Knowledge,Tools Training,850000,142
97,Enterprise,1,2026-01-19,Soft Skills,Soft Skills,850000,169
98,Enterprise,1,2026-04-25,Tools Training,Soft Skills,850000,129
99,Enterprise,1,2025-08-11,Tools Training,Tools Training,850000,127
100,Enterprise,1,2025-06-23,Soft Skills,Soft Skills,850000,107
101,Enterprise,1,2025-12-07,Product Knowledge,Tools Training,850000,126
102,Enterprise,1,2025-12-06,Soft Skills,Tools Training,850000,138
103,Enterprise,1,2025-07-29,Sales Skills,Product Knowledge,850000,103
104,Enterprise,1,2026-01-03,Product Knowledge,Tools Training,850000,122
105,Enterprise,1,2025-12-24,Product Knowledge,Product Knowledge,850000,104
106,Enterprise,1,2026-04-29,Tools Training,Product Knowledge,850000,172
107,Enterprise,1,2026-01-24,Soft Skills,Sales Skills,850000,175
108,Enterprise,1,2025-08-01,Sales Skills,Tools Training,850000,137
109,Enterprise,1,2025-10-20,Tools Training,Tools Training,850000,185
110,Enterprise,1,2026-02-13,Product Knowledge,Soft Skills,850000,154
111,Enterprise,1,2026-02-03,Soft Skills,Soft Skills,850000,138
112,Enterprise,1,2025-09-24,Product Knowledge,Soft Skills,850000,147
113,Enterprise,1,2026-03-22,Sales Skills,Tools Training,850000,112
114,Enterprise,1,2025-08-23,Product Knowledge,Product Knowledge,850000,67
115,Enterprise,1,2025-06-09,Product Knowledge,Product Knowledge,850000,116
116,Enterprise,1,2025-12-04,Product Knowledge,Soft Skills,850000,140
117,Enterprise,1,2025-08-16,Soft Skills,Soft Skills,850000,180
118,Enterprise,1,2025-08-26,Product Knowledge,Sales Skills,850000,137
119,Enterprise,1,2025-11-21,Product Knowledge,Tools Training,850000,129
120,Enterprise,1,2026-03-28,Sales Skills,Sales Skills,850000,144
121,Enterprise,1,2025-11-02,Sales Skills,Sales Skills,850000,138
122,Enterprise,1,2025-11-13,Product Knowledge,Tools Training,850000,157
123,Enterprise,1,2026-03-17,Product Knowledge,Product Knowledge,850000,101
124,Enterprise,1,2025-08-20,Tools Training,Product Knowledge,850000,106
125,Enterprise,1,2026-03-26,Sales Skills,Product Knowledge,850000,160
126,Enterprise,1,2026-01-30,Product Knowledge,Product Knowledge,850000,89
127,Enterprise,1,2026-01-05,Sales Skills,Product Knowledge,850000,108
128,Enterprise,1,2026-02-14,Sales Skills,Soft Skills,850000,116
129,Enterprise,1,2025-09-25,Product Knowledge,Sales Skills,850000,108
130,Enterprise,1,2025-10-20,Tools Training,Sales Skills,850000,150
131,Enterprise,1,2026-01-21,Tools Training,Soft Skills,850000,75
132,Enterprise,1,2025-11-29,Tools Training,Product Knowledge,850000,91
133,Enterprise,1,2025-09-18,Sales Skills,Tools Training,850000,119
134,Enterprise,1,2025-09-25,Tools Training,Sales Skills,850000,156
135,Enterprise,1,2025-07-18,Soft Skills,Sales Skills,850000,126
136,Enterprise,1,2025-10-25,Tools Training,Sales Skills,850000,152
137,Enterprise,1,2026-01-20,Product Knowledge,Tools Training,850000,118
138,Enterprise,1,2026-03-09,Tools Training,Product Knowledge,850000,108
139,Enterprise,1,2025-12-07,Sales Skills,Soft Skills,850000,75
140,Enterprise,1,2026-03-08,Tools Training,Soft Skills,850000,113
141,Enterprise,1,2026-03-04,Tools Training,Soft Skills,850000,176
142,Enterprise,1,2026-04-21,Product Knowledge,Product Knowledge,850000,137
143,Enterprise,1,2025-08-20,Soft Skills,Product Knowledge,850000,118
144,Enterprise,1,2025-07-21,Product Knowledge,Product Knowledge,850000,159
145,Enterprise,1,2026-04-25,Soft Skills,Soft Skills,850000,81
146,Enterprise,1,2025-06-13,Product Knowledge,Soft Skills,850000,128
